player,match_id,date,venue,batting_team,bowling_team,avg_score,avg_balls_faced,avg_outs,avg_runs_conceded,avg_balls_bowled,avg_wickets_taken,avg_fantasy_points,avg_venue_fantasy_points,avg_against_opposition_fantasy_points,avg_score_5,avg_balls_faced_5,avg_outs_5,avg_runs_conceded_5,avg_balls_bowled_5,avg_wickets_taken_5,avg_fantasy_points_5,matches_played,avg_fours,avg_sixes,avg_catches,avg_runouts,temp_max,temp_min,precipitation,weather_code,role
Gaikwad,202201,2022-03-26,"Wankhede Stadium, Mumbai",CSK,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,31.3,23.9,0.0,3,batter
Uthappa,202201,2022-03-26,"Wankhede Stadium, Mumbai",CSK,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,31.3,23.9,0.0,3,wicketkeeper
Conway,202201,2022-03-26,"Wankhede Stadium, Mumbai",CSK,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,31.3,23.9,0.0,3,batter
Rayudu,202201,2022-03-26,"Wankhede Stadium, Mumbai",CSK,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,31.3,23.9,0.0,3,batter
Jadeja,202201,2022-03-26,"Wankhede Stadium, Mumbai",CSK,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,31.3,23.9,0.0,3,all-rounder
Shivam Dube,202201,2022-03-26,"Wankhede Stadium, Mumbai",CSK,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,31.3,23.9,0.0,3,batter
Dhoni,202201,2022-03-26,"Wankhede Stadium, Mumbai",CSK,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,31.3,23.9,0.0,3,wicketkeeper
Rahane,202201,2022-03-26,"Wankhede Stadium, Mumbai",CSK,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,31.3,23.9,0.0,3,batter
Venkatesh Iyer,202201,2022-03-26,"Wankhede Stadium, Mumbai",CSK,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,31.3,23.9,0.0,3,batter
Nitish Rana,202201,2022-03-26,"Wankhede Stadium, Mumbai",CSK,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,31.3,23.9,0.0,3,batter
Shreyas Iyer,202201,2022-03-26,"Wankhede Stadium, Mumbai",CSK,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,31.3,23.9,0.0,3,batter
Billings,202201,2022-03-26,"Wankhede Stadium, Mumbai",CSK,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,31.3,23.9,0.0,3,wicketkeeper
Jackson,202201,2022-03-26,"Wankhede Stadium, Mumbai",CSK,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,31.3,23.9,0.0,3,wicketkeeper
Umesh Yadav,202201,2022-03-26,"Wankhede Stadium, Mumbai",CSK,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,31.3,23.9,0.0,3,bowler
