player,match_id,date,venue,batting_team,bowling_team,avg_score,avg_balls_faced,avg_outs,avg_runs_conceded,avg_balls_bowled,avg_wickets_taken,avg_fantasy_points,avg_venue_fantasy_points,avg_against_opposition_fantasy_points,avg_score_5,avg_balls_faced_5,avg_outs_5,avg_runs_conceded_5,avg_balls_bowled_5,avg_wickets_taken_5,avg_fantasy_points_5,matches_played,avg_fours,avg_sixes,avg_catches,avg_runouts
Travis Head,202601,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Abhishek Sharma,202601,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Ishan Kishan,202601,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Nitish Reddy,202601,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Heinrich Klaasen,202601,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Salil Arora,202601,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Aniket Verma,202601,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Harsh Dubey,202601,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Harshal Patel,202601,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
David Payne,202601,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Jaydev Unadkat,202601,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Phil Salt,202601,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Devdutt Padikkal,202601,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Virat Kohli,202601,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Rajat Patidar,202601,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Jitesh Sharma,202601,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Tim David,202601,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Jacob Duffy,202601,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Bhuvneshwar Kumar,202601,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Abhinandan Singh,202601,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Romario Shepherd,202601,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Suyash Sharma,202601,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Krunal Pandya,202601,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Eshan Malinga,202601,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Ajinkya Rahane,202602,2026-03-29,"Wankhede Stadium, Mumbai",KKR,MI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Finn Allen,202602,2026-03-29,"Wankhede Stadium, Mumbai",KKR,MI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Cameron Green,202602,2026-03-29,"Wankhede Stadium, Mumbai",KKR,MI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Angkrish Raghuvanshi,202602,2026-03-29,"Wankhede Stadium, Mumbai",KKR,MI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Rinku Singh,202602,2026-03-29,"Wankhede Stadium, Mumbai",KKR,MI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Ramandeep Singh,202602,2026-03-29,"Wankhede Stadium, Mumbai",KKR,MI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Ryan Rickelton,202602,2026-03-29,"Wankhede Stadium, Mumbai",KKR,MI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Rohit Sharma,202602,2026-03-29,"Wankhede Stadium, Mumbai",KKR,MI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Suryakumar Yadav,202602,2026-03-29,"Wankhede Stadium, Mumbai",KKR,MI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Tilak Varma,202602,2026-03-29,"Wankhede Stadium, Mumbai",KKR,MI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Hardik Pandya,202602,2026-03-29,"Wankhede Stadium, Mumbai",KKR,MI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Naman Dhir,202602,2026-03-29,"Wankhede Stadium, Mumbai",KKR,MI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Trent Boult,202602,2026-03-29,"Wankhede Stadium, Mumbai",KKR,MI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AM Ghazanfar,202602,2026-03-29,"Wankhede Stadium, Mumbai",KKR,MI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Jasprit Bumrah,202602,2026-03-29,"Wankhede Stadium, Mumbai",KKR,MI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Shardul Thakur,202602,2026-03-29,"Wankhede Stadium, Mumbai",KKR,MI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Mayank Markande,202602,2026-03-29,"Wankhede Stadium, Mumbai",KKR,MI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Vaibhav Arora,202602,2026-03-29,"Wankhede Stadium, Mumbai",KKR,MI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Blessing Muzarabani,202602,2026-03-29,"Wankhede Stadium, Mumbai",KKR,MI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
